id,total,m20vref,m20v,massref,mass
1442,0,M20V00471,FA-1,MASS00422,BA-7
1443,0,M20V02031,FA-2,MASS01767,BA-3/BA-4Panas
1444,0,M20V02032,FA-2,MASS01769,BA-3/BA-4Panas
1445,0,M20V01125,FA-2,MASS01183,BA-2
1446,0,M20V02000,FA-2,MASS01124,BA-1/BA-4ABB
1447,0,M20V01992,FA-3,MASS01219,BA-3/BA-4Panas
1448,0,M20V02051,FA-1,MASS00358,BA-5/BA-8Es
1449,0,M20V01519,FA-1,MASS00486,BA-5
1450,0,M20V01126,FA-2,MASS01184,BA-2
1451,0,M20V02015,FA-3,MASS01087,P/BA-1/BA-4CLOOS
1452,0,M20V02002,FA-2,MASS01146,BA-1/BA-4ABB
1453,0,M20V00639,FA-3,MASS00880,P/BA-2
1454,379,M20V01739,FA-3,MASS01630,P/BA-3
1455,184,M20V00024,FA-2,MASS00254,BA-2Z
1456,300,M20V00807,FA-2,MASS01000,BA-4StABB/P/BA-1
1457,172,M20V00547,FA-1,MASS00811,BA-5
1458,1612,M20V01004,FA-1,MASS01147,BA-5/BA-8Es
1459,393,M20V00189,FA-1,MASS00434,BA-7
1460,280,M20V01218,FA-2,MASS01285,P/BA-3
1461,259,M20V00050,FA-2,MASS00283,BA-2Z
1462,259,M20V00049,FA-2,MASS00282,BA-2Z
1463,196,M20V01225,FA-2,MASS01292,BA-2
1464,167,M20V02232,FA-2,MASS01963,P/BA-3/BA-4St
1465,379,M20V01279,FA-2,MASS01178,BA-2Z
1466,304,M20V01562,FA-1,MASS01460,BA-7
1467,301,M20V01221,FA-2,MASS01288,P/BA-2
1468,229,M20V00388,FA-1,MASS00660,BA-5
1469,160,M20V00906,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1470,202,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
1471,38,M20V00461,FA-1,MASS00731,BA-3/BA-4St
1472,620,M20V00871,FA-2,MASS01052,BA-2
1473,85,M20V00778,FA-1,MASS00980,BA-5
1474,405,M20V00046,FA-2,MASS00268,BA-2Z
1475,3733,M20V00132,FA-1,MASS00388,BA-5
1476,397,M20V00929,FA-2,MASS01101,P/BA-1/BA-4ABB
1477,360,M20V01632,FA-1,MASS01553,BA-7/BA-8Es
1478,251,M20V01910,FA-1,MASS01764,BA-2
1479,204,M20V02144,FA-3,MASS01161,BA-1/BA-8EsSSW
1480,132,M20V00618,FA-1,MASS00384,BA-5/BA-8EsSSW
1481,127,M20VC1312,FC-1,MASSC1351,BC-1
1482,81,M20V01909,FA-1,MASS01763,BA-1/BA-4
1483,50,M20V01333,FA-2,MASS01359,BA-1/BA-4Panas
1484,196,M20V01224,FA-2,MASS01291,BA-2
1485,374,M20V00600,FA-2,MASS00849,P/BA-1/BA-4ABB
1486,205,M20V00024,FA-2,MASS00254,BA-2Z
1487,226,M20V01279,FA-2,MASS01178,BA-2Z
1488,621,M20V00727,FA-3,MASS00950,P/BA-1/BA-4CLOOS
1489,139,M20V00806,FA-2,MASS00999,BA-4St/P/BA-1
1490,92,M20V00950,FA-2,MASS01112,P/BA-2Z
1491,79,M20V01281,FA-3,MASS01332,P/BA-3/BA-4Panas
1492,206,M20V01387,FA-1,MASS00957,BA-5
1493,330,M20V00685,FA-2,MASS00917,BA-2
1494,310,M20V00176,FA-1,MASS00421,BA-5
1495,274,M20V00029,FA-2,MASS00256,BA-2Z
1496,189,M20V01562,FA-1,MASS01460,BA-7
1497,176,M20V00922,FA-2,MASS01088,P/BA-1/BA-4CLOOS
1498,120,M20V00911,FA-1,MASS00951,BA-5/BA-8SSW
1499,96,M20V01137,FA-2,MASS01224,P/BA-3/BA-4St
1500,239,M20V00226,FA-1,MASS00490,BA-5
1501,61,M20V01387,FA-1,MASS00957,BA-5
1502,126,M20V01562,FA-1,MASS01460,BA-7
1503,101,M20V00766,FA-1,MASS00957,BA-5
1504,108,M20V00935,FA-1,MASS01104,BA-5
1505,0,M20V01262,FA-2,MASS01321,BA-3/BA-4Panas
1506,328,M20V00029,FA-2,MASS00256,BA-2Z
1507,46,M20V01386,FA-2,MASS01395,P/BA-3
1508,71,M20V00545,FA-1,MASS00808,BA-5/BA-8SSPSSW
